"host_id","host_url","host_name","num_of_dirty_reviews"
259350581,"https://www.airbnb.com/users/show/259350581","5B Homes",1
261142261,"https://www.airbnb.com/users/show/261142261","Emre Can",1
263042435,"https://www.airbnb.com/users/show/263042435","Bingül",1
263739424,"https://www.airbnb.com/users/show/263739424","Leo",1
264029986,"https://www.airbnb.com/users/show/264029986","Arzu",1
264046078,"https://www.airbnb.com/users/show/264046078","Rano",1
265375486,"https://www.airbnb.com/users/show/265375486","Mehmet",1
265400440,"https://www.airbnb.com/users/show/265400440","Bahattin",1
266206164,"https://www.airbnb.com/users/show/266206164","Ali",1
267115482,"https://www.airbnb.com/users/show/267115482","Özlem",1
267699016,"https://www.airbnb.com/users/show/267699016","Ibrahim",1
269576871,"https://www.airbnb.com/users/show/269576871","Şermin",1
269868669,"https://www.airbnb.com/users/show/269868669","Abdullah",1
270219756,"https://www.airbnb.com/users/show/270219756","Berkay",1
271284684,"https://www.airbnb.com/users/show/271284684","Tulin",1
271552659,"https://www.airbnb.com/users/show/271552659","Ali",1
272546877,"https://www.airbnb.com/users/show/272546877","Mete",1
272993693,"https://www.airbnb.com/users/show/272993693","Esra",1
275056221,"https://www.airbnb.com/users/show/275056221","Yunusemre",1
275465568,"https://www.airbnb.com/users/show/275465568","Muhammed Fatih",1
275811685,"https://www.airbnb.com/users/show/275811685","Vahap",1
277104368,"https://www.airbnb.com/users/show/277104368","Parvin",1
277331315,"https://www.airbnb.com/users/show/277331315","Kemal",1
279227400,"https://www.airbnb.com/users/show/279227400","Salih",1
280317041,"https://www.airbnb.com/users/show/280317041","Bünyamin",1
282374356,"https://www.airbnb.com/users/show/282374356","Şafak",1
285058387,"https://www.airbnb.com/users/show/285058387","Anas",1
285085481,"https://www.airbnb.com/users/show/285085481","Burak Mustafa",1
286090194,"https://www.airbnb.com/users/show/286090194","Seyfulla",1
286900353,"https://www.airbnb.com/users/show/286900353","Aziz",1
293047462,"https://www.airbnb.com/users/show/293047462","Nes",1
294356419,"https://www.airbnb.com/users/show/294356419","Hussein",1
297319980,"https://www.airbnb.com/users/show/297319980","George",1
297835051,"https://www.airbnb.com/users/show/297835051","Timur",1
298151896,"https://www.airbnb.com/users/show/298151896","Derin",1
299311905,"https://www.airbnb.com/users/show/299311905","Baran",1
299560184,"https://www.airbnb.com/users/show/299560184","Enver",1
299638779,"https://www.airbnb.com/users/show/299638779","Oğuzhan",1
300678963,"https://www.airbnb.com/users/show/300678963","Mustafa",1
301535279,"https://www.airbnb.com/users/show/301535279","Ozgur",1
302539653,"https://www.airbnb.com/users/show/302539653","Marzieh",1
302897457,"https://www.airbnb.com/users/show/302897457","Emrah",1
303185676,"https://www.airbnb.com/users/show/303185676","Jermain & Zübeyde",1
305035999,"https://www.airbnb.com/users/show/305035999","Brain",1
306577213,"https://www.airbnb.com/users/show/306577213","Yazıcı Residence",1
307210883,"https://www.airbnb.com/users/show/307210883","Azat",1
308079226,"https://www.airbnb.com/users/show/308079226","Hakan",1
308220849,"https://www.airbnb.com/users/show/308220849","Cemil",1
309587273,"https://www.airbnb.com/users/show/309587273","Mustafa",1
309916375,"https://www.airbnb.com/users/show/309916375","Ufuk",1
311302453,"https://www.airbnb.com/users/show/311302453","Başar",1
313016683,"https://www.airbnb.com/users/show/313016683","Doğu",1
315897276,"https://www.airbnb.com/users/show/315897276","Tunahan",1
316021497,"https://www.airbnb.com/users/show/316021497","Samet Serdar",1
317056094,"https://www.airbnb.com/users/show/317056094","Atakan",1
317956198,"https://www.airbnb.com/users/show/317956198","Mehmet",1
318523377,"https://www.airbnb.com/users/show/318523377","Songül",1
319777136,"https://www.airbnb.com/users/show/319777136","StayinnBalat",1
322700905,"https://www.airbnb.com/users/show/322700905","Ozlem",1
324851831,"https://www.airbnb.com/users/show/324851831","Ali Murat",1
324955970,"https://www.airbnb.com/users/show/324955970","Serkan",1
325805485,"https://www.airbnb.com/users/show/325805485","Gülşah",1
326391893,"https://www.airbnb.com/users/show/326391893","Yakup",1
330204236,"https://www.airbnb.com/users/show/330204236","Avşin",1
332633803,"https://www.airbnb.com/users/show/332633803","Gizem",1
332820813,"https://www.airbnb.com/users/show/332820813","Özgür",1
334043790,"https://www.airbnb.com/users/show/334043790","Uthman",1
336493440,"https://www.airbnb.com/users/show/336493440","Royal Galata",1
338475209,"https://www.airbnb.com/users/show/338475209","Karamans Si̇rkeci̇",1
339825854,"https://www.airbnb.com/users/show/339825854","Altuğ",1
340181428,"https://www.airbnb.com/users/show/340181428","Hakan",1
345539493,"https://www.airbnb.com/users/show/345539493","Yusuf",1
348318278,"https://www.airbnb.com/users/show/348318278","Rosso",1
348385069,"https://www.airbnb.com/users/show/348385069","Sami Abdullah",1
348400776,"https://www.airbnb.com/users/show/348400776","David",1
348566168,"https://www.airbnb.com/users/show/348566168","Mahmud",1
348940276,"https://www.airbnb.com/users/show/348940276","Tusem",1
349137401,"https://www.airbnb.com/users/show/349137401","Nevzat Cengiz",1
350283390,"https://www.airbnb.com/users/show/350283390","Deniz",1
351221740,"https://www.airbnb.com/users/show/351221740","Melek",1
351479693,"https://www.airbnb.com/users/show/351479693","Yeliz",1
352665715,"https://www.airbnb.com/users/show/352665715","Birhat",1
353712589,"https://www.airbnb.com/users/show/353712589","Emagine",1
355673258,"https://www.airbnb.com/users/show/355673258","Yiğit Murat",1
358294300,"https://www.airbnb.com/users/show/358294300","Mustafa",1
360876788,"https://www.airbnb.com/users/show/360876788","Beytullah",1
361058498,"https://www.airbnb.com/users/show/361058498","Berkay",1
